Latitude,Longitude,Length,Width,Height,Area,Depth,Volume,Run out distance,Type of Material,Type of movement,Rate of movement,Activity,Distribution,Style,Failure mechanism,Geomorphology,Land use/Land cover,Hydrological condition,Triggering Factor,Risk
18.103411,73.626413,40,6,33,120,1.5,180,20,Debris,Slide,Rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,Rainfall,High
18.103365,73.626623,40,15,33,300,1.5,450,20,Debris,Slide,Rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,Rainfall,High
18.103711,73.627192,4,5,2,10,0.2,2,2,Debris,Slide,Rapid,Dormant,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Moderate
18.10391,73.627926,11,15,6,83,0.5,41,5,Debris,Slide,Rapid,Reactivated,Retrogressive,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",High
18.105584,73.62996,30,9,17,135,0.7,95,200,Debris,Flow,Very rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,Rainfall,High
18.103571,73.628423,15,12,10,90,0.3,27,3,Debris,Slide,Moderate,Dormant,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Moderate
18.102537,73.628642,15,5,13,38,0.5,19,50,Debris,Slide,Rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,Rainfall,Moderate
18.102511,73.62746,30,40,23,600,0.3,180,20,Debris,Slide,Rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,Rainfall,Low
18.100396,73.6288,6,4,3,12,0.5,6,1,Debris,Slide,Moderate,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Low
18.099706,73.629005,6,12,6,36,0.5,18,2.4,Debris,Slide,Rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Low
18.100106,73.632124,70,20,54,700,2.5,1750,10,Debris,Slide,Very rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",High
18.099568,73.631594,10,6,4,30,0.5,15,5,Debris,Slide,Rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Moderate
18.098659,73.630467,15,5,12,38,0.5,19,4,Debris,Slide,Rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Low
18.096382,73.631827,5,7,2,18,0.5,9,2.8,Debris,Slide,Rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Low
18.095848,73.632566,15,13,8,98,2,195,2,Debris,Slide,Rapid,Suspended,Enlarging,Single,Deep Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Moderate
18.095404,73.634753,8,25,8,100,0.3,30,4,Debris,Slide,Moderate,Reactivated,Retrogressive,Single,Shallow Planar,Moderately Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Moderate
18.095863,73.635416,15,30,8,225,2,450,3.1,Debris,Slide,Moderate,Dormant,Enlarging,Single,Shallow Planar,Moderately Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Low
